Theatre Name,Venue Code,booking-url,Datetime,Session ID,Availability,Sold tickets,Total tickets,Show Gross
Alankar (Pratap Theatre): Langer House,PTTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=PTTH&ssid=22183&format=json,202301111100,22183,A,0,354,0.0
Alankar (Pratap Theatre): Langer House,PTTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=PTTH&ssid=22184&format=json,202301111400,22184,A,0,354,0.0
Alankar (Pratap Theatre): Langer House,PTTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=PTTH&ssid=22185&format=json,202301111800,22185,A,0,354,0.0
Alankar (Pratap Theatre): Langer House,PTTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=PTTH&ssid=22186&format=json,202301112100,22186,A,0,354,0.0
AMB Cinemas: Gachibowli,AMBH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=AMBH&ssid=47421&format=json,202301111040,47421,A,133,308,39895.0
AMB Cinemas: Gachibowli,AMBH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=AMBH&ssid=47420&format=json,202301111340,47420,A,95,308,28685.0
AMB Cinemas: Gachibowli,AMBH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=AMBH&ssid=47419&format=json,202301111635,47419,A,112,308,33700.0
AMB Cinemas: Gachibowli,AMBH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=AMBH&ssid=47422&format=json,202301111935,47422,A,171,308,51105.0
AMB Cinemas: Gachibowli,AMBH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=AMBH&ssid=47423&format=json,202301112230,47423,A,164,308,49040.0
Aradhana Theatre: Hyderabad,ARTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=ARTH&ssid=1256&format=json,202301111100,1256,A,0,660,0.0
Aradhana Theatre: Hyderabad,ARTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=ARTH&ssid=1257&format=json,202301111400,1257,A,0,660,0.0
Aradhana Theatre: Hyderabad,ARTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=ARTH&ssid=1258&format=json,202301111800,1258,A,0,660,0.0
Aradhana Theatre: Hyderabad,ARTH,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=ARTH&ssid=1259&format=json,202301112100,1259,A,0,660,0.0
Asian Cineplanet Multiplex: Kompally,CPHY,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=CPHY&ssid=42739&format=json,202301111045,42739,A,97,690,24250.0
Asian Cineplanet Multiplex: Kompally,CPHY,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=CPHY&ssid=42740&format=json,202301111340,42740,A,87,690,21750.0
Asian Cineplanet Multiplex: Kompally,CPHY,https://in.bookmyshow.com/serv/getData?cmd=GETSHOWINFOJSON&vid=CPHY&ssid=42741&format=json,202301111635,42741,A,88,690,22000.0
